182	The First Book of Moses: Called Genesis 4:18
183	The First Book of Moses: Called Genesis 4:18
184	The First Book of Moses: Called Genesis 4:18
185	The First Book of Moses: Called Genesis 4:19
186	The First Book of Moses: Called Genesis 4:19
187	The First Book of Moses: Called Genesis 4:20
188	The First Book of Moses: Called Genesis 4:20
189	The First Book of Moses: Called Genesis 4:21
190	The First Book of Moses: Called Genesis 4:21
191	The First Book of Moses: Called Genesis 4:22
192	The First Book of Moses: Called Genesis 4:22
193	The First Book of Moses: Called Genesis 4:23
194	The First Book of Moses: Called Genesis 4:23
195	The First Book of Moses: Called Genesis 4:23
196	The First Book of Moses: Called Genesis 4:24
197	The First Book of Moses: Called Genesis 4:25
198	The First Book of Moses: Called Genesis 4:25
199	The First Book of Moses: Called Genesis 4:25
200	The First Book of Moses: Called Genesis 4:26
201	The First Book of Moses: Called Genesis 4:26
202	The First Book of Moses: Called Genesis 4:26
203	The First Book of Moses: Called Genesis 5:1
204	The First Book of Moses: Called Genesis 5:1
205	The First Book of Moses: Called Genesis 5:2
206	The First Book of Moses: Called Genesis 5:2
207	The First Book of Moses: Called Genesis 5:3
208	The First Book of Moses: Called Genesis 5:3
209	The First Book of Moses: Called Genesis 5:4
210	The First Book of Moses: Called Genesis 5:4
211	The First Book of Moses: Called Genesis 5:5
212	The First Book of Moses: Called Genesis 5:5
213	The First Book of Moses: Called Genesis 5:6
214	The First Book of Moses: Called Genesis 5:7
215	The First Book of Moses: Called Genesis 5:8
216	The First Book of Moses: Called Genesis 5:8
217	The First Book of Moses: Called Genesis 5:9
218	The First Book of Moses: Called Genesis 5:10
219	The First Book of Moses: Called Genesis 5:11
220	The First Book of Moses: Called Genesis 5:11
221	The First Book of Moses: Called Genesis 5:12
222	The First Book of Moses: Called Genesis 5:13
223	The First Book of Moses: Called Genesis 5:14
224	The First Book of Moses: Called Genesis 5:14
225	The First Book of Moses: Called Genesis 5:15
226	The First Book of Moses: Called Genesis 5:16
227	The First Book of Moses: Called Genesis 5:17
228	The First Book of Moses: Called Genesis 5:17
229	The First Book of Moses: Called Genesis 5:18
