EBER_THE	NAMIR	JOKTAN
REHOBOAM_HAD	COME	JERUSALEM
JEROBOAM	ORDAINED	THE
AND	ORDAINED	FOR_AND_TO
THAT_TIME_ABIJAH	ES	JEROBOAM_BECAME
I_AM	SENT	YOU_WITH_HEAVY_NEWS
HAVE	DONE	ALL_WERE
TO	TO	ANGER
DOGS_WILL_EAT	WHO	WHO
ABIJAM	BEGAR	REIGN_OVER_JUDAH
FOR_DAVID’S_SAKE	ES	AND
ASA	BEGAR	REIGN_OVER_JUDAH
BREAK_THAT	HABER	DEPART_FROM_ME
BAASHA_HEARD_OF_IT	STOPPED	RAMAH
BUT	WAS	DISEASED
REIGN_OVER_ISRAEL	BEGAR_IN	AND
SOON_AS	WAS	KING
WHICH	SPOKE	HIS
REIGN_OVER_ALL_ISRAEL	BEGAR_IN	FOR_TWENTY-FOUR_YEARS
WORD_CAME_TO_JEHU	ES	HANANI_BAASHA
TO	TO	THEIR_SINS
I_WILL	ES	NEBAT
SLEPT_WITH_HIS_AND	ES	REIGNED
NOW	WAS	OVER_THE_HOUSEHOLD
WHEN	BEGAR	REIGN
WHICH	SPOKE	BY_JEHU
OMRI	BEGAR	REIGN_OVER_ISRAEL
FOR_THE_OF_WHICH	HAD	BUILT
WHICH	SPOKE	JOSHUA
PLEASE	BRING	ME
YAHWEH_IS_FOLLOW	THEN	FOLLOW
ALOUD_FOR	IS	GOD
AHAB	RODIR	WENT_TO_JEZREEL
TOLD_JEZEBEL	DONE	HOW
JEZEBEL	SENT	TO_SO
THEN	REQUESTED	HIMSELF_THAT
AND	SAID	HIM_WHAT
MY_LORD_THE_ALL	SERVANT_AT	FIRST_WILL_DO
HADAD	SENT	ME
AS	WAS	DRINKING
AND	SAID	HIS_SERVANTS_PREPARE
CITY	PREPAREDIR	ATTACK
THEN	HABER	MUSTERED
BUT	IS	I_YAHWEH
ENCAMPED	OPPOSITAR	FOR_SEVEN_DAYS
YOUR	SERVANT	HADAD_SAYS
LET	LIVAR	ME
THEN	SAID	WILL
YOUR	SERVANT	BUSY_HERE_AND_THERE
HURRIED_AND_AND	RECOGNIZED	THAT
WILL	ES	NEBAT_OF_OF_TO
FOR	DOES	GOOD
WHO	ES	GO_UP_AND
YAHWEH	PUT_A	SPIRIT_THE_MOUTH_OF
ZEDEKIAH_THE	ES	CHENAANAH_CAME_NEAR_AND
WAY	TO	SPEAK
SAID_IF_YAHWEH	ES	BY_ME
YOUR_HAND_AND	OUT	THE_BATTLE_FOR
WAS_THIRTY-FIVE_YEARS_WHEN	BEGAR	REIGN
REMNANT_OF_SODOMITES_THAT	ES	OUT
AHAZIAH_THE	ES	AHAB
AHAB	BEGAR	REIGN_OVER_ISRAEL
ACCORDING_TO_FOREKNOWLEDGE_OF	UNTAR	AND
BE_THE_WHICH_ABUNDANT	UNTAR	HOPE_RESURRECTION_OF
LAYING_ASIDE_AND_AND	ENVIES	ALL_EVIL_SPEAKINGS
AS	UNTAR	LIVING
BUT	CHOSEN	GOD
ALSO_IT_IS	CONTAINED	SCRIPTURE_BEHOLD
WHEN	WAS	AGAIN
YE_WERE_GOING	ASTRAY	ARE_UNTO_THE_SOULS
LIKE	FIGURIR	THE_RESURRECTION_OF
YOURSELVES_THEREFORE_HAND_THAT	ES	EXALT_YOU_DUE_TIME
AS	DID	BY
WILL	SERVANT	I
ELI	THOUGHT	DRUNK
DON’T	SERVANT	WOMAN_FOR
YOUR	SERVANT	SIGHT
MAY	ESTABLISH	HIS
YAHWEH	VISITED	AND
WILL	UP	FAITHFUL
THAT_TIME	COULD	SEE
SAMUEL	SAID	I_AM
SHALL_BE_CALLS_THAT	SERVANT	HEARS
THEREFORE	SWORN	THE_HOUSE_OF_THAT
TO	SPOKE	YOU
HAND_OF_GOD_WAS	VERY	HEAVY
AND	BRING	HOME
AND	OFFERED	OFFERING
AND	BRING	UP_TO_YOURSELVES
CRIED_TO_AND	ANSWERED	HIM
RETURN_WAS_FOR_AND	JUDGED	HE
SAMUEL_WAS_OLD	MADE	ISRAEL
TO	NOW	THEREFORE
ABIEL_THE	OF	BENJAMITE
HIS_SHOULDERS_AND	WAS	THE_PEOPLE
HAD	COME	THE_LAND_OF_ZUPH
SAID_TO_HIS	SERVANT	BE_ANXIOUS_FOR_US
THAT	SAYS	HAPPENS
TIMES	SAID	WHO
THOSE	INVITED	EAT
WILL_HAS	COME	ME
TELL	WHERIR	SEER’S_IS
CAME_AND_AND	PROPHESIED	THEM
OF_THE_SAME	PLACIR	IT_BECAME_IS
WHEN	HAD	PROPHESYING
SAID_TO_YOU	WHAT	ME
SAID_TO_HIS_UNCLE	TOLD	PLAINLY_THAT_THE_WERE
CONCERNING	DIDN’T	HIM
SAUL_THE	ES	KISH_CHOSEN_BUT
WHEN	STOOD	THE_PEOPLE
COME	DONE	HIS_OXEN
SAID_MAN_FOR	RESCUED	ISRAEL
THERE	OFFERED	PEACE_OFFERINGS_BEFORE_AND
AGAINST	BEFORAR	AND
YOU_WILL_AND	SERVAR	COMMANDMENT_OF_YAHWEH
YOU_HAVE	DONE	ASKING
FEAR_YAHWEH_AND	SERVAR	WITH
CONSIDER	DONE	YOU
IF_YOU_KEEP	DOING	EVIL
THAT	MIGHT	GREET
HAVE	DONE	FOOLISHLY
JONATHAN	CLIMBED	AND
THAT	FIRST	SLAUGHTER
MUCH_MORE_PERHAPS	EATIR	OF
ASKED	COUNSEL	GOD_SHALL
BUT	DIDN’T	DAY
SAID_DRAW_ALL	BEAR	TODAY
THEN	SAID	ALL_ISRAEL
TO	NOW	THEREFORE
WHEN	CAMAR	OF_EGYPT
GRIEVES	THAT	HAVE_SET_UP_SAUL
AND	GIVIR	TO_NEIGHBOR
THEN	SAID	HAVE_SINNED
PLEASE_HONOR	NOW	ELDERS_OF
SAUL’S	SERVANTS	NOW
PROVIDE	NOW	WHO_CAN_WELL_AND
SAUL	SENT	IS_WITH_THE_SHEEP
AND	BECAMAR	ARMOR_BEARER
FOR	FOUND	SIGHT
STAFF_OF_HIS	SPEAR	SIX
DAVID_WAS_THE	ES	WHOSE
SAID_TO_HIS	ES	TAKE
AND	BRING	TEN
DAVID	ROSE	UP
PEOPLE	ANSWERED	HIM
HIS_BROTHER_HEARD_WHEN	SPOKE	THE_MEN_AND
AND	SAID	HAVE_YOU_COME_DOWN
SAID_TO_YOUR	SERVANT	WHEN_LION_AND
STRAPPED_AND	TRIED	FOR
FOR	WAS	RUDDY_AND
KING_SAID_INQUIRE	ES	YOUNG
SAID_TO_HIM_WHOSE	ES	YOU
WHEN	HAD	SAUL_THE_AND
JONATHAN_DAVID_MADE_BECAUSE	LOVED	AS
EVEN	INCLUDING	HIS
AS	DID	BY_DAY
HAD_HIS	SPEAR_IN	HAND
SAUL	REMOVED	HIS_PRESENCE_AND
SAID_TO_WHO_OR	FAMILY	THE_KING
SAUL’S	SERVANTS	SPOKE
SPOKE_LIKE_THIS	SERVANTS	SAUL_TOLD_HIM
THAT	MIGHT	SON-IN-LAW
AS	OFTAR	OUT
JONATHAN_SAUL’S	ES	GREATLY
LISTENED_TO_AND	SHALL_NOT	PUT_TO_DEATH
JONATHAN_DAVID_AND	WAS_IN	BEFORE
EVIL_SPIRIT_AS	SPEAR_IN	HAND_AND
SAUL	SENT	TO
DAVID_AND_AND	DONE	HIM
SAUL_WAS_TOLD	SENT	OTHER
SAUL	SENT	AGAIN_AND
THEN	ALSO	HE_ASKED
GIVE	FIVAR	WHATEVER_IS_AVAILABLE
BECAME	CAPTAIN	THEM
SAID_TO_HIS	SERVANTS	NOW
SAID_HEAR_YOU	ES	AHITUB
