EMBEDDING	IMPLEMENTA	EMBEDDINGTABLEDESTROY
EMBEDDING	INCLUYE	STDINT
EMBEDDING	INCLUYE	SYMBOL
EMBEDDINGCOOCCUR	RECIBE_PARAMETRO	CONTEXT
EMBEDDINGCOOCCUR	RECIBE_PARAMETRO	LEARNING_RATE
EMBEDDINGCOOCCUR	RECIBE_PARAMETRO	TARGET
EMBEDDINGCOOCCUR	RETORNA	VOID
EMBEDDINGCOSINESIMILARITY	RECIBE_PARAMETRO	V1
EMBEDDINGCOSINESIMILARITY	RECIBE_PARAMETRO	V2
EMBEDDINGCOSINESIMILARITY	RETORNA	FLOAT
EMBEDDINGFINDSIMILAR	RECIBE_PARAMETRO	MAX_MATCHES
EMBEDDINGFINDSIMILAR	RECIBE_PARAMETRO	OUT_MATCHES
EMBEDDINGFINDSIMILAR	RECIBE_PARAMETRO	QUERY_ID
EMBEDDINGFINDSIMILAR	RECIBE_PARAMETRO	TABLE
EMBEDDINGFINDSIMILAR	RETORNA	UINT32_T
EMBEDDINGNORMALIZE	RECIBE_PARAMETRO	VEC
EMBEDDINGNORMALIZE	RETORNA	VOID
EMBEDDINGRANDOMINIT	RECIBE_PARAMETRO	SEED
EMBEDDINGRANDOMINIT	RECIBE_PARAMETRO	VEC
EMBEDDINGRANDOMINIT	RETORNA	VOID
EMBEDDINGS	ES_TIPO	EMBEDDING_TABLE
EMBEDDINGSETVECTOR	RECIBE_PARAMETRO	ID
EMBEDDINGSETVECTOR	RECIBE_PARAMETRO	TABLE
EMBEDDINGSETVECTOR	RECIBE_PARAMETRO	VEC
EMBEDDINGSETVECTOR	RETORNA	INT
EMBEDDINGTABLEDESTROY	RECIBE_PARAMETRO	TABLE
EMBEDDINGTABLEDESTROY	RETORNA	VOID
EMBEDDING_MATCH	TIENE_CAMPO	ID
EMBEDDING_MATCH	TIENE_CAMPO	SCORE
EMBEDDING_TABLE	TIENE_CAMPO	CAPACITY
EMBEDDING_TABLE	TIENE_CAMPO	COUNT
ENUM	DEFINE	CONSTANTES_NOMBRE
F	ES_TIPO	FILE
FABS	RETORNA	VALOR_ABSOLUTO
FCLOSE	CIERRA	ARCHIVO
FGETS	LEE	LINEA_DE_ARCHIVO
FILEPATH	ES_TIPO	CONST
FLOAT	ES_TIPO	DECIMAL
FLOOR	RETORNA	REDONDEO_ABAJO
FOPEN	ABRE	ARCHIVO
FOPEN	REQUIERE	FCLOSE
FOPEN	RETORNA	PUNTERO_FILE
FOR	ITERA	CONTADOR
FORMATNOUN	RETORNA	VOID
FORMATNOUNPHRASE	RETORNA	VOID
FPRINTF	ESCRIBE	ARCHIVO
FREAD	LEE	DATOS_BINARIOS
FREE	LIBERA	MEMORIA_DINAMICA
FREE	RECIBE_PARAMETRO	PUNTERO
FREQUENCY	ES_TIPO	UINT64_T
FSCANF	LEE	ARCHIVO
FUNCTIONAL	ES_TIPO	RELATION
FUNC_COUNT	ES_TIPO	UINT32_T
FWRITE	ESCRIBE	DATOS_BINARIOS
GENDER	ES_TIPO	ENTITY_GENDER
GENERATOR	DECLARA_FUNCION	GENERATORAGGREGATERELATIONS
GENERATOR	DECLARA_FUNCION	GENERATORANSWERQUERY
GENERATOR	DECLARA_FUNCION	GENERATORCONFIGDEFAULT
GENERATOR	DECLARA_FUNCION	GENERATORFROMPREDICTIONS
GENERATOR	DECLARA_FUNCION	GENERATORFROMRELATION
GENERATOR	DEFINE_ENUM	GEN_STYLE_CONCISE
GENERATOR	DEFINE_ENUM	GEN_STYLE_EXPLAIN
GENERATOR	DEFINE_ENUM	GEN_STYLE_PROBABILISTIC
GENERATOR	IMPLEMENTA	FORMATNOUN
GENERATOR	IMPLEMENTA	FORMATNOUNPHRASE
GENERATOR	IMPLEMENTA	GENERATORAGGREGATERELATIONS
GENERATOR	IMPLEMENTA	GENERATORANSWERQUERY
GENERATOR	IMPLEMENTA	GENERATORCONFIGDEFAULT
GENERATOR	IMPLEMENTA	GENERATORFROMPREDICTIONS
GENERATOR	IMPLEMENTA	GENERATORFROMRELATION
GENERATOR	IMPLEMENTA	ISFEMININENOUN
GENERATOR	IMPLEMENTA	ISPROPERNOUN
GENERATOR	INCLUYE	GRAPH
GENERATOR	INCLUYE	LEARNING
GENERATOR	INCLUYE	STDDEF
GENERATOR	INCLUYE	STDINT
GENERATORAGGREGATERELATIONS	RECIBE_PARAMETRO	CONFIG
GENERATORAGGREGATERELATIONS	RECIBE_PARAMETRO	COUNT
GENERATORAGGREGATERELATIONS	RECIBE_PARAMETRO	GRAPH
GENERATORAGGREGATERELATIONS	RECIBE_PARAMETRO	MAX_LEN
GENERATORAGGREGATERELATIONS	RECIBE_PARAMETRO	OUT_TEXT
GENERATORAGGREGATERELATIONS	RECIBE_PARAMETRO	RELATIONS
GENERATORAGGREGATERELATIONS	RETORNA	INT
GENERATORANSWERQUERY	RECIBE_PARAMETRO	GRAPH
GENERATORANSWERQUERY	RECIBE_PARAMETRO	MAX_LEN
GENERATORANSWERQUERY	RECIBE_PARAMETRO	OUT_TEXT
GENERATORANSWERQUERY	RECIBE_PARAMETRO	PREDICATE_NAME
GENERATORANSWERQUERY	RECIBE_PARAMETRO	SUBJECT_NAME
GENERATORANSWERQUERY	RETORNA	INT
GENERATORCONFIGDEFAULT	RETORNA	GENERATOR_CONFIG
GENERATORFROMPREDICTIONS	RECIBE_PARAMETRO	COUNT
GENERATORFROMPREDICTIONS	RECIBE_PARAMETRO	GRAPH
GENERATORFROMPREDICTIONS	RECIBE_PARAMETRO	MAX_LEN
GENERATORFROMPREDICTIONS	RECIBE_PARAMETRO	OUT_TEXT
GENERATORFROMPREDICTIONS	RECIBE_PARAMETRO	PREDICATE_NAME
GENERATORFROMPREDICTIONS	RECIBE_PARAMETRO	PREDICTIONS
GENERATORFROMPREDICTIONS	RECIBE_PARAMETRO	SUBJECT_NAME
GENERATORFROMPREDICTIONS	RETORNA	INT
GENERATORFROMRELATION	RECIBE_PARAMETRO	CONFIG
GENERATORFROMRELATION	RECIBE_PARAMETRO	GRAPH
GENERATORFROMRELATION	RECIBE_PARAMETRO	MAX_LEN
GENERATORFROMRELATION	RECIBE_PARAMETRO	OUT_TEXT
GENERATORFROMRELATION	RECIBE_PARAMETRO	RELATION
GENERATORFROMRELATION	RETORNA	INT
GENERATOR_CONFIG	TIENE_CAMPO	ADD_PERIOD
GENERATOR_CONFIG	TIENE_CAMPO	CAPITALIZE_FIRST
GENERATOR_CONFIG	TIENE_CAMPO	STYLE
GETTIMESECONDS	RETORNA	DOUBLE
GETTIMESECONDS	RETORNA	ELSE_STATIC_DOUBLE
GETUNKNOWNRESPONSE	RETORNA	VOID
GRAPH	DECLARA_FUNCION	GRAPHADDRELATION
GRAPH	DECLARA_FUNCION	GRAPHADDRELATIONPOLAR
GRAPH	DECLARA_FUNCION	GRAPHADDSYMBOL
GRAPH	DECLARA_FUNCION	GRAPHCHECKCONTRADICTION
GRAPH	DECLARA_FUNCION	GRAPHDESTROY
GRAPH	DECLARA_FUNCION	GRAPHINFERTRANSITIVE
GRAPH	DECLARA_FUNCION	GRAPHQUERYOBJECT
GRAPH	DECLARA_FUNCION	GRAPHQUERYSUBJECT
GRAPH	DECLARA_FUNCION	GRAPHQUERYSUBJECTPREDICATE
GRAPH	DECLARA_FUNCION	GRAPHQUERYSUBJECTPREDICATEFUZZY
GRAPH	DECLARA_FUNCION	GRAPHRESOLVESYNONYM
GRAPH	DECLARA_FUNCION	GRAPHSETEMBEDDINGTABLE
GRAPH	DEFINE_CONSTANTE	SIMILARITY_THRESHOLD_DEFAULT
GRAPH	DEFINE_ENUM	CONFLICT_ALLOW_BOTH
GRAPH	DEFINE_ENUM	CONFLICT_EVIDENCE_WINS
GRAPH	DEFINE_ENUM	CONFLICT_OVERWRITE
GRAPH	DEFINE_ENUM	CONFLICT_REJECT_NEW
GRAPH	ES_TIPO	CONST
GRAPH	ES_TIPO	GRAPH
GRAPH	IMPLEMENTA	GRAPHADDRELATION
GRAPH	IMPLEMENTA	GRAPHADDRELATIONPOLAR
GRAPH	IMPLEMENTA	GRAPHADDSYMBOL
GRAPH	IMPLEMENTA	GRAPHCHECKCONTRADICTION
GRAPH	IMPLEMENTA	GRAPHDESTROY
GRAPH	IMPLEMENTA	GRAPHINFERTRANSITIVE
GRAPH	IMPLEMENTA	GRAPHQUERYOBJECT
GRAPH	IMPLEMENTA	GRAPHQUERYSUBJECT
GRAPH	IMPLEMENTA	GRAPHQUERYSUBJECTPREDICATE
GRAPH	IMPLEMENTA	GRAPHQUERYSUBJECTPREDICATEFUZZY
GRAPH	IMPLEMENTA	GRAPHRESOLVESYNONYM
GRAPH	IMPLEMENTA	GRAPHSETEMBEDDINGTABLE
GRAPH	INCLUYE	EMBEDDING
GRAPH	INCLUYE	RELATION
GRAPH	INCLUYE	STDINT
GRAPH	INCLUYE	SYMBOL
GRAPHADDRELATION	RECIBE_PARAMETRO	GRAPH
GRAPHADDRELATION	RECIBE_PARAMETRO	OBJECT
GRAPHADDRELATION	RECIBE_PARAMETRO	PREDICATE
GRAPHADDRELATION	RECIBE_PARAMETRO	SUBJECT
GRAPHADDRELATION	RETORNA	INT
